"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 16:11:59 CST 2024","Wed Apr 03 16:11:59 CST 2024","346","testcases.task_failure","test_request","TestRequests","","","test_select_file[caseinfo1]",""
"passed","Wed Apr 03 16:11:59 CST 2024","Wed Apr 03 16:11:59 CST 2024","400","testcases.task_failure","test_request","TestRequests","","","test_select_file[caseinfo0]",""
"passed","Wed Apr 03 16:11:59 CST 2024","Wed Apr 03 16:11:59 CST 2024","73","testcases.task_failure","test_request","TestRequests","","","test_select_file[caseinfo2]",""
